target_name_ullyses,target_name_hlsp,target_name_simbad,target_name_ullyses_apt,alias0,alias1,alias2,alias3,alias4,alias5,alias6,alias7,alias8,alias9,alias10,alias12,alias13,alias14,alias15,alias16,alias17,alias18,alias19,alias20
SK -68 8,SK-68D8,SK -68 8,SK-68D8,SK -68 8,SK-68D8,SK -68 8|SK_-688,SK -68 8,SK_-688,SK -68 8,SK_-688,SK-68-8,,,,,,,,,,,,
SK -67 195,SK-67D195,SK -67 195,SK-67D195,SK -67 195,SK-67D195,SK -67 195|[M2002]_158636,SK -67 195,[M2002]_158636,SK -67 195,[M2002]_158636,SK-67-195,,,,,,,,,,,,
SK -67 197,SK-67D197,SK -67 197,SK-67D197,SK -67 197,SK-67D197,SK -67 197|[M2002]_158955,SK -67 197,[M2002]_158955,SK -67 197,[M2002]_158955,SK-67-197,,,,,,,,,,,,
SK -66 50,SK-66D50,SK -66 50,SK-66D50,SK -66 50,SK-66D50,SK -66 50|SK_-6650,SK -66 50,SK_-6650,SK -66 50,SK_-6650,SK-66-50,,,,,,,,,,,,
SK -67 207,SK-67D207,SK -67 207,SK-67D207,SK -67 207,SK-67D207,SK -67 207|SK_-67207,SK -67 207,SK_-67207,SK -67 207,SK_-67207,SK-67-207,,,,,,,,,,,,
SK -68 137,SK-68D137,SK -68 137,SK-68D137,SK -68 137,SK-68D137,SK -68 137|[M2002]_170808,SK -68 137,[M2002]_170808,SK -68 137,[M2002]_170808,,,,,,,,,,,,,
VFTS 506,VFTS-506,VFTS 506,VFTS-506,VFTS 506,VFTS-506,P93-0871|VFTS_506,P93-0871,VFTS_506,P93-0871,VFTS_506,,,,,,,,,,,,,
VFTS 169,VFTS-169,VFTS 169,VFTS-169,VFTS 169,VFTS-169,ST92 1-71|VFTS_169,ST92 1-71,VFTS_169,ST92 1-71,VFTS_169,,,,,,,,,,,,,
SK -67 22,SK-67D22,SK -67 22,SK-67D22,SK -67 22,SK-67D22,SK -67 22|BAT99_12,SK-6722,SK -67 22,BAT99_12,SK-6722,SK -67 22,BAT99_12,,,,,,,,,,,
BAT99 105,BAT99-105,CL* NGC 2070 MEL 42,BAT99-105,BAT99 105,BAT99-105,MK 42|BAT99_105|BREY 77,MK42,MK 42,BAT99_105,BREY 77,MK 42,BAT99_105,BREY 77,,,,,,,,,,
VFTS 482,VFTS-482,CL* NGC 2070 MEL 39,VFTS-482,VFTS 482,VFTS-482,MK 39|BAT99_99|BREY 78,MK 39,BAT99_99,BREY 78,MK 39,BAT99_99,BREY 78,,,,,,,,,,,
VFTS 542,VFTS-542,CL* NGC 2070 MEL 30,VFTS-542,VFTS 542,VFTS-542,MK 30|BAT99_113,MK 30,BAT99_113,MK 30,BAT99_113,,,,,,,,,,,,,
VFTS 545,VFTS-545,CL* NGC 2070 MEL 35,VFTS-545,VFTS 545,VFTS-545,MK 35|BAT99_114,MK 35,BAT99_114,MK 35,BAT99_114,,,,,,,,,,,,,
VFTS 267,VFTS-267,VFTS 267,VFTS-267,VFTS 267,VFTS-267,VFTS-267|VFTS_267,VFTS-267,VFTS_267,VFTS-267,VFTS_267,,,,,,,,,,,,,
