targets,RA,DEC,AR_targets,SpT,E(B-V),U,archival exptime,flux1150,flux1200,flux1520,Settings,ETC_FUV_file,ETC_NUV_file
Sk -69 86|[M2002] 104322,5h16m38.94s,-69d16m40.9s,BR 20|WS 14,WN4b,nan,13.63,21593| 6598,nan,2.14E-13,1.14E-13,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_104322.0/swp07001/swp07001.mxlo.gz|downloaded/LMC/IUE/[M2002]_104322.0/swp07001/swp07001mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_104322.0/lwp25907/lwp25907.mxlo.gz|downloaded/LMC/IUE/[M2002]_104322.0/lwp25907/lwp25907mxlo_vo.fits
BI 121|[M2002] 105113,5h16m51.9s,-69d11m29.5s,,B1 III:,0.09,13.06,,nan,nan,nan,,Model,Model
BI 127|[M2002] 108922,5h17m53.99s,-69d08m24.2s,,O6.5 V,0.08,12.88,,nan,nan,nan,,Model,Model
BI 130|[M2002] 109725,5h18m06.06s,-69d14m34.5s,BI130,O8.5V((f)),0.11,11.34,27416,1.72E-12,nan,nan,FUSE/1045,Model,Model
BI 131|[M2002] 110164,5h18m13.01s,-69d15m50.5s,HD 35343|BI 131,O9 III,0.06,12.29,30839| 5039,0,4.66E-14,5.58E-14,LWP/0/0|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_110164.0/swp04868/swp04868.mxlo.gz|downloaded/LMC/IUE/[M2002]_110164.0/swp04868/swp04868mxlo_vo.fits,Model
BI 133|[M2002] 110852,5h18m23.73s,-69d11m01.3s,BI 133,O9 III,0.12,11.81,1500,nan,3.09E-13,4.60E-13,SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_110852.0/swp04843/swp04843.mxlo.gz|downloaded/LMC/IUE/[M2002]_110852.0/swp04843/swp04843mxlo_vo.fits,Model
BI 135|[M2002] 111451,5h18m33.8s,-69d15m18.6s,,O9.5 III,0.09,11.38,,nan,nan,nan,,Model,Model
FDG 256|[M2002] 111708,5h18m37.97s,-69d02m24.6s,,B6 I,0.1,12.34,,nan,nan,nan,,Model,Model
BI 137|[M2002] 112593,5h18m51.88s,-69d12m06.2s,,O8 V,0.09,11.76,,nan,nan,nan,,Model,Model
FDG 261|[M2002] 113490,5h19m05.03s,-69d41m05.7s,,B7 I,0.05,11.88,,nan,nan,nan,,Model,Model
Sk -68 69|[M2002] 114935,5h19m25.87s,-68d51m33.6s,,B8 I,0.08,11.67,,nan,nan,nan,,Model,Model
BI 144|[M2002] 116614,5h19m49.27s,-69d21m01.2s,,B0.5 I,0.09,12.21,,nan,nan,nan,,Model,Model
