Target,Target_LINK,RA(J2000),DEC(J2000),Sk,HD,M2002,VFTS,Alias,SpT,E(B-V),B,V,v sin i,COS,STIS,ORB,FUSE,COS G130M 1096,G130M 1291,COS G160M 1611,COS G185M 1953,COS G185M 1986,STIS E140M 1425,STIS E230M 1978,STIS E230M 2707,Modes To Be Observed,Archival UV Modes,Other AR Modes,VLT,ULL
N11 051,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[ELS2006]+N11+051&submit=submit+id""> N11 051</a>",04h56m29.7033s,-66d21m38.8615s,,,,,[ELS2006]_N11_51,O5 Vn((f)),0.02,13.77,14.03,333,1,2,3,,p,,,,,p,,,COS/G130M/1096-STIS/E140M,,VLT/GIRAFFE,g,1
PGMW 3120,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=PGMW+3120&submit=submit+id""> PGMW 3120</a>",04h56m46.8122s,-66d24m46.7244s,,,,,[PGMW]_3120,O5.5 V ((f*)),0.21,12.73,12.8,95|111,0,0,0,F,,,,,,a,a,,,FUSE-STIS/E140M/1425-STIS/E230M/1978,VLT/GIRAFFE,g,2
SK -69 104,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-69+104&submit=submit+id""> SK -69 104</a>",05h18m59.485s,-69d12m54.7938s,-69 104,269357,,,,O6Ib(f),0.07,11.89,12.09,97|117,0,0,0,F,,,,,,a,a,,,FUSE-STIS/E140M/1425-STIS/E230M/1978,,,2
SK -70 115,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-70+115&submit=submit+id""> SK -70 115</a>",05h48m49.6572s,-70d03m57.8226s,-70 115,270145,,,,O6.5Iaf,0.17,12.14,12.24,164,0,0,0,F,,,o,ao,,ah,ah,,,FUSE-STIS/E140M/1425-STIS/E230M/1978,VLT/UVES,u,2
SK -67 111,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+111&submit=submit+id""> SK -67 111</a>",05h26m48.0824s,-67d29m29.7766s,-67 111,,136636,,,O6:Iafpe,0.07,12.37,12.57,209|259,0,0,0,F,,,,,,a,,,,FUSE-STIS/E140M/1425,,,2
SK -65 22,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-65+22&submit=submit+id""> SK -65 22</a>",05h01m23.0808s,-65d52m33.2068s,-65 22,270952,,,,O6 Iaf+,0.08,11.88,12.07,66,0,0,0,F,,,,ao,,a,a,,,FUSE-STIS/E140M/1425-STIS/E230M/1978,VLT/UVES,u,2
SK -71 19,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-71+19&submit=submit+id""> SK -71 19</a>",05h22m15.7545s,-71d21m39.2967s,-71 19,,,,,O6 III,0.07,14.03,14.23,242,1,0,1,F,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,FUSE,,,1
SK -67 51,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+51&submit=submit+id""> SK -67 51</a>",05h09m47.3526s,-67d53m57.9169s,-67 51,,,,,O6.5 III,0.07,12.48,12.68,,1,1,2,,p,,,,,p,,,COS/G130M/1096-STIS/E140M,,,,1
N11 018,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[ELS2006]+N11+018&submit=submit+id""> N11 018</a>",04h56m41.052s,-66d24m40.5406s,,,,,[ELS2006]_N11_18|PGMW 3053,O6 II(f^+ ),0.18,13.04,13.13,,1,0,1,F,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,FUSE,VLT/GIRAFFE,g,1
SK -66 100,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-66+100&submit=submit+id""> SK -66 100</a>",05h27m45.4515s,-66d55m15.2875s,-66 100,,,,,O6 II(f),0.06,13.05,13.26,67|84,0,3,3,F,,,,,,p,,,STIS/E140M,FUSE,VLT/UVES,u,1
SK -71 50,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-71+50&submit=submit+id""> SK -71 50</a>",05h40m43.1806s,-71d29m00.6707s,-71 50,,,,,O6.5II,0.15,13.32,13.44,296,0,0,0,F,,,,,,a,a,,,FUSE-STIS/E140M/1425-STIS/E230M/1978,,,2
SK -66 18,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-66+18&submit=submit+id""> SK -66 18</a>",04h55m59.8269s,-65d58m29.7364s,-66 18,,,,,O6V((f)),0.08,13.3,13.5,82|100,0,3,3,F,,,,,,p,,,STIS/E140M,FUSE,VLT/UVES,u,1
N11 048,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[ELS2006]+N11+048&submit=submit+id""> N11 048</a>",04h56m58.79s,-66d24m40.7s,,,,,[ELS2006]_N11_48|PGMW 3204,O6.5 V((f)),0.1,13.85,14.02,130,1,0,1,F,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,FUSE,VLT/GIRAFFE,g,1
BI 13,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=BI+13&submit=submit+id""> BI 13</a>",04h53m06.5059s,-68d03m22.7975s,,,15830,,BI 13|[M2002]_15830,O6.5V,0.18,13.66,13.75,118,0,3,3,F,,,,,,p,,,STIS/E140M,FUSE,,,1
PGMW 3070,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=PGMW+3070&submit=submit+id""> PGMW 3070</a>",04h56m43.2086s,-66d25m02.5716s,,,,,[PGMW]_3070,O6 V,0.06,12.53,12.75,72,0,3,3,F,,,,,,p,,,STIS/E140M,FUSE,,,1
VFTS 406,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=VFTS+406&submit=submit+id""> VFTS 406</a>",05h38m33.9768s,-69d04m21.1188s,,,,406,P93_0370|VFTS_406|Mk 55,O6 Vnn,0.29,14.31,14.3,356,3,0,3,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,VLT/GIRAFFE,g,1
SK -66 152,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-66+152&submit=submit+id""> SK -66 152</a>",05h34m18.7265s,-66d08m42.255s,-66 152,271366,,,,O7 Ib(f),0.11,12.33,12.49,,1,2,3,,p,,,,,p,,,COS/G130M/1096-STIS/E140M,,,,1
SK -69 83,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-69+83&submit=submit+id""> SK -69 83</a>",05h14m29.6446s,-69d29m43.6036s,-69 83,269244,,,,O7.5 Iaf,0.11,11.44,11.6,,1,1,2,,p,,,,,p,,,COS/G130M/1096-STIS/E140M,,,,1
SK -69 50,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-69+50&submit=submit+id""> SK -69 50</a>",04h57m15.1008s,-69d20m19.9555s,-69 50,,33053,,[M2002]_33053,O7 If,0.11,13.15,13.31,178,0,0,0,F,,,,,,a,,,,FUSE-STIS/E140M/1425,,,2
N11 032,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[ELS2006]+N11+032&submit=submit+id""> N11 032</a>",04h56m54.4645s,-66d24m15.8689s,,,,,[ELS2006]_N11_32|PGMW 3168,O7 II(f),0.16,13.57,13.68,96,2,0,2,F,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,FUSE,VLT/GIRAFFE,g,1
BI 272,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=BI+272&submit=submit+id""> BI 272</a>",05h44m23.113s,-67d14m29.1995s,,,,,BI272,O7:III-II:,0.05,13.06,13.28,212,0,3,3,F,,,,,,p,,,STIS/E140M,FUSE,VLT/UVES,u,1
SK -68 16,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-68+16&submit=submit+id""> SK -68 16</a>",04h57m37.7954s,-68d24m35.9206s,-68 16,,,,[M2002]_34847,O7 III,0.08,12.66,12.85,100,0,4,4,F,,,,,,p,,,STIS/E140M,FUSE,,,1
SK -67 118,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+118&submit=submit+id""> SK -67 118</a>",05h27m33.3016s,-67d17m30.3213s,-67 118,,,,[M2002]_138717,O7 V,0.08,12.79,12.98,61,0,2,2,F,,,,,,p,,,STIS/E140M,FUSE,,,1
