target_name_ullyses,target_name_simbad,simbad_link,target_classification,gaia_id,targ_ra,targ_dec,coordinate_epoch,host_galaxy_name,host_cluster_name,spectral_type,spectral_type_ref,sp_class,temp_class,lum_class,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,bmv0_mag,bmv0_mag_ref,extinction_ebmv,extinction_ebmv_ref,star_teff,star_teff_ref,surface_gravity,surface_gravity_ref,star_luminosity,star_luminosity_ref,star_radius,star_radius_ref,star_mass,star_mass_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,rate_massloss,rate_massloss_ref,known_binary,known_binary_ref,Extra,F225W_STmag,F275W_STmag,F336W_STmag,F475W_STmag,F814W_STmag,AR
AV 314,AzV 314,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+314,Mid B Supergiant,Gaia DR3 4687498277203924608,15.70209782,-72.27927965,2016,SMC,None,B5 Iab,1997A&A...317..871L,B,5,I,11.98,2002ApJS..141...81M,12.77,2002ApJS..141...81M,12.87,2002ApJS..141...81M,-0.1,1970A&A.....4..234F,0,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None,FALSE,,,,,,FALSE
AV 317,AzV 317,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+317,Early B Supergiant,Gaia DR3 4690531520539301248,15.71647084,-71.80689217,2016,SMC,None,B0 Iw,1987AJ.....93.1070G,B,0,I,11.64,2002ApJS..141...81M,12.69,2002ApJS..141...81M,12.88,2002ApJS..141...81M,-0.24,1970A&A.....4..234F,0.05,Derived from (B-V)0,26900,2018ApJ...868...57C,,None,5.4,2018ApJ...868...57C,,None,,None,,None,,None,,None,FALSE,None,TRUE,,,,,,TRUE
AV 321,AzV 321,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+321,Early B Giant,Gaia DR3 4690508980549304704,15.73785201,-72.13587045,2016,SMC,None,O9 IInp,2010AJ....139.1283W,O,9,II,12.54,2002ApJS..141...81M,13.57,2002ApJS..141...81M,13.76,2002ApJS..141...81M,-0.26,2006A&A...457..637M,0.07,Derived from (B-V)0,,None,,None,,None,,None,,None,357,2009ApJ...700..844P,,None,,None,FALSE,None,FALSE,,,,,,TRUE
AV 324,AzV 324,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+324,Early B Supergiant,Gaia DR3 4690507881037706112,15.76344588,-72.18774244,2016,SMC,None,B4 Iab,1997AJ....114.1951S,B,4,I,12.11,2002ApJS..141...81M,12.79,2002ApJS..141...81M,12.84,2002ApJS..141...81M,-0.13,1970A&A.....4..234F,0.08,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None,FALSE,,,,,,FALSE
AV 326,AzV 326,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+326,Early B Subgiant,Gaia DR3 4687481750167305472,15.78863319,-72.43253922,2016,SMC,None,O9 V,1995ApJ...438..188M,O,9,V,12.84,2002ApJS..141...81M,13.8,2002ApJS..141...81M,13.92,2002ApJS..141...81M,-0.26,2006A&A...457..637M,0.14,Derived from (B-V)0,32400,2013A&A...555A...1B,4.03,2013A&A...555A...1B,4.81,2013A&A...555A...1B,8.1,"Derived from L,Teff",18.8,2013A&A...555A...1B,200,2013A&A...555A...1B,1250,2013A&A...555A...1B,7.10E-10,2013A&A...555A...1B,FALSE,None,FALSE,,,,,,TRUE
AV 327,AzV 327,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+327,Late O Bright Giant,Gaia DR3 4690512691400904448,15.79396046,-72.03732083,2016,SMC,None,O9.5 II-Ibw,2000PASP..112.1243W,O,9.5,II,11.83,2002ApJS..141...81M,12.87,2002ApJS..141...81M,13.03,2002ApJS..141...81M,-0.26,2006A&A...457..637M,0.06,2021A&A...647A.134B,30000,2021A&A...647A.134B,3.12,2021A&A...647A.134B,5.54,2021A&A...647A.134B,21.8,"Derived from L,Teff",22.8,2021A&A...647A.134B,95,2021A&A...647A.134B,1500,2021A&A...647A.134B,1.30E-07,2021A&A...647A.134B,FALSE,None,FALSE,,,,,,TRUE
MOA J010321.3-720538,MOA J010321.3-720538,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=MOA+J010321.3-720538,O Binary,Gaia DR3 4690509324146632704,15.83876614,-72.09393843,2016,SMC,NGC 371,O6 V + O4/5 III(f),2003MNRAS.341..583M,O,6,V,12.29,2000AJ....119.2214M,13.33,2000AJ....119.2214M,13.56,2000AJ....119.2214M,-0.27,2006A&A...457..637M,0.04,Derived from (B-V)0,,None,3.79,2003MNRAS.339..157H,,None,10.2,2003MNRAS.339..157H,23.6,2003MNRAS.339..157H,,None,,None,,None,TRUE,2003MNRAS.341..583M,TRUE,,,,,,TRUE
AV 332,SK 108,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+108,WN Binary,Gaia DR3 4690509113669470592,15.85512951,-72.11218802,2016,SMC,NGC 371,WN3:h + O5.5 V + O5.5 I(f) + O7.5 V,2018A&A...616A.103S,WN,3,none,11.11,1977A&AS...30..261A,12.14,1977A&AS...30..261A,12.37,1977A&AS...30..261A,,None,0.08,2018A&A...616A.103S,80000,2018A&A...616A.103S,,None,5.87,2018A&A...616A.103S,4.7,2018A&A...616A.103S,,None,,None,2000,2018A&A...616A.103S,6.30E-06,2018A&A...616A.103S,TRUE,2018A&A...616A.103S,FALSE,,,,,,FALSE
AV 343,AzV 343,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+343,Mid B Supergiant,Gaia DR3 4687427152541020288,15.98417006,-72.70174557,2016,SMC,None,B6 Iab,1997AJ....114.1951S,B,6,I,12.32,2002ApJS..141...81M,12.95,2002ApJS..141...81M,12.99,2002ApJS..141...81M,-0.07,1970A&A.....4..234F,0.03,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None,FALSE,,,,,,FALSE
IC1613 BUG C10,[BUG2007] C 10,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[BUG2007]+C+10,Early B Supergiant,Gaia DR3 2539073064965819264,16.18075752,2.17288405,2016,IC 1613,None,B1.5 Ib,2007ApJ...671.2028B,B,1.5,I,,None,,None,18.82,2007ApJ...671.2028B,-0.17,1970A&A.....4..234F,,None,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None,TRUE,,,,,,TRUE
IC1613 BUG B11,[BUG2007] B 11,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[BUG2007]+B+11,Late O Supergiant,Gaia DR3 2539071450058445312,16.1826362,2.112544896,2016,IC 1613,None,O9.5 I,2007ApJ...671.2028B,O,9.5,I,17.45,2009A&A...502.1015G,18.49,2009A&A...502.1015G,18.62,2009A&A...502.1015G,-0.26,2006A&A...457..637M,0.13,Derived from (B-V)0,30000,2015MNRAS.449.1545B,3.25,2015MNRAS.449.1545B,5.45,2015MNRAS.449.1545B,19.7,"Derived from L,Teff",22.3,2015MNRAS.449.1545B,,None,1300,2015MNRAS.449.1545B,1.50E-08,2015MNRAS.449.1545B,FALSE,None,TRUE,,,,,,TRUE
AV 362,AzV 362,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+362,Early B Supergiant,Gaia DR3 4687507584364583040,16.20563353,-72.10604585,2016,SMC,None,B3 Ia,1997A&A...317..871L,B,3,I,10.58,1977A&AS...30..261A,11.34,1977A&AS...30..261A,11.36,1977A&AS...30..261A,-0.13,1970A&A.....4..234F,0.11,Derived from (B-V)0,14000,2004A&A...417..217T,1.7,2004A&A...417..217T,5.5,2004A&A...417..217T,96,2004A&A...417..217T,30,2004A&A...417..217T,51,2004A&A...417..217T,270,2004A&A...417..217T,8.00E-07,2004A&A...417..217T,FALSE,None,FALSE,,,,,,TRUE
AV 372,AzV 372,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+372,Late O Supergiant,Gaia DR3 4687411518857964032,16.23226231,-72.78004586,2016,SMC,None,O9.5 Iabw,2002ApJS..141..443W,O,9.5,I,11.41,2002ApJS..141...81M,12.44,2002ApJS..141...81M,12.59,2002ApJS..141...81M,-0.26,2006A&A...457..637M,0.11,Derived from (B-V)0,28000,2004ApJ...610.1021E,3.1,2004ApJ...610.1021E,5.62,2004ApJ...610.1021E,27.5,2004ApJ...610.1021E,,None,120,2004ApJ...610.1021E,1550,2004ApJ...610.1021E,1.00E-06,2004ApJ...610.1021E,FALSE,None,FALSE,,,,,,FALSE
IC1613 BUG B4,[BUG2007] B 4,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[BUG2007]+B+4,Early B Supergiant,Gaia DR3 2539072107187468672,16.24815736,2.15450254,2016,IC 1613,None,B1.5 Ia,2007ApJ...671.2028B,B,1.5,I,17.13,2009A&A...502.1015G,18.1,2009A&A...502.1015G,18.23,2009A&A...502.1015G,-0.18,1970A&A.....4..234F,0.05,Derived from (B-V)0,22500,2007ApJ...671.2028B,2.6,2007ApJ...671.2028B,5.2,2007ApJ...671.2028B,27,2007ApJ...671.2028B,11,2007ApJ...671.2028B,,None,875,2014ApJ...788...64G,,None,FALSE,None,TRUE,,,,,,TRUE
IC1613 GHV 61331,[GHV2009] Star 61331,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[GHV2009]+Star+61331,Late O Bright Giant,Gaia DR3 2539060386222354944,16.25067121,2.153663794,2016,IC 1613,None,O9.7 II,2013A&A...551A..74G,O,9.7,II,17.93,2013A&A...551A..74G,18.93,2013A&A...551A..74G,19.14,2013A&A...551A..74G,-0.26,2006A&A...457..637M,0.05,Derived from (B-V)0,33000,2013A&A...551A..74G,3.8,2013A&A...551A..74G,,None,,None,,None,,None,,None,,None,FALSE,None,TRUE,,,,,,TRUE
IC1613 GHV 62024,[GHV2009] Star 62024,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[GHV2009]+Star+62024,Mid O Giant,Gaia DR3 2539060351862616448,16.25272168,2.147040774,2016,IC 1613,None,O6.5 IIIf,2012A&A...543A..85H,O,6.5,III,18.69,2012A&A...543A..85H,19.44,2012A&A...543A..85H,19.6,2012A&A...543A..85H,-0.27,2006A&A...457..637M,0.11,Derived from (B-V)0,36500,2012A&A...543A..85H,3.6,2012A&A...543A..85H,5.29,2012A&A...543A..85H,11.1,2012A&A...543A..85H,18.3,2012A&A...543A..85H,,None,1250,2014ApJ...788...64G,4.30E-07,2012A&A...543A..85H,FALSE,None,TRUE,,,,,,TRUE
IC1613 BUG A10,[BUG2007] A 10,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[BUG2007+A+10,Early B Supergiant,Gaia DR3 2539073687736158848,16.25382248,2.178220409,2016,IC 1613,None,B1 Ia,2007ApJ...671.2028B,B,1,I,16.3,2009A&A...502.1015G,17.28,2009A&A...502.1015G,17.42,2009A&A...502.1015G,-0.22,1970A&A.....4..234F,0.08,Derived from (B-V)0,25000,2007ApJ...671.2028B,2.7,2007ApJ...671.2028B,5.71,2007ApJ...671.2028B,38,2007ApJ...671.2028B,27,2007ApJ...671.2028B,,None,1075,2014ApJ...788...64G,,None,FALSE,None,TRUE,,,,,,TRUE
AV 374,AzV 374,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+374,Early B Supergiant,Gaia DR3 4687483880472767872,16.25777557,-72.44827935,2016,SMC,None,B2 Ib,1997A&A...317..871L,B,2,I,12.04,2002ApJS..141...81M,12.91,2002ApJS..141...81M,13.04,2002ApJS..141...81M,-0.16,1970A&A.....4..234F,0.03,Derived from (B-V)0,18500,2005A&A...434.1125D,2.5,2005A&A...434.1125D,,None,,None,,None,47,2006A&A...451..603D,,None,,None,FALSE,None,FALSE,,,,,,FALSE
IC1613 BUG B7,[BUG2007] B 7,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[BUG2007]+B++7,Late O Bright Giant,Gaia DR3 2539060283142934656,16.25824478,2.134765838,2016,IC 1613,None,O9 II,2014ApJ...788...64G,O,9,II,17.73,2014ApJ...788...64G,18.76,2014ApJ...788...64G,18.96,2014ApJ...788...64G,-0.26,2006A&A...457..637M,0.05,Derived from (B-V)0,35050,2014A&A...572A..36T,3.74,2014A&A...572A..36T,5.32,2014A&A...572A..36T,12.6,2014A&A...572A..36T,28.4,2014A&A...572A..36T,270,2014A&A...572A..36T,1000,2014ApJ...788...64G,,None,FALSE,None,TRUE,,,,,,TRUE
IC1613 GHV 64066,[GHV2009] Star 64066,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[GHV2009]+Star+64066,Early O Giant,Gaia DR3 2539060386222149120,16.25865785,2.157825152,2016,IC 1613,None,O3 III((f)),2013A&A...551A..74G,O,3,III,17.7,2013A&A...551A..74G,18.82,2013A&A...551A..74G,19.03,2013A&A...551A..74G,-0.28,2006A&A...457..637M,0.07,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None,TRUE,,,,,,TRUE
IC1613 BUG B2,[BUG2007] B 2,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[BUG2007]+B+2,Mid O Giant,Gaia DR3 2539073614721142656,16.26280211,2.167956866,2016,IC 1613,None,O7.5 III-V((f)),2014ApJ...788...64G,O,7.5,III,18.37,2013A&A...551A..74G,19.42,2013A&A...551A..74G,19.62,2013A&A...551A..74G,-0.27,2006A&A...457..637M,0.07,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,1500,2014ApJ...788...64G,,None,FALSE,None,TRUE,,,,,,TRUE
IC1613 GHV 67559,[GHV2009] Star 67559,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[GHV2009]+Star+67559,Late O Giant,Gaia DR3 2539061863691450368,16.26988241,2.156465351,2016,IC 1613,None,O8.5 III((f)),2014ApJ...788...64G,O,8.5,III,18,2014ApJ...788...64G,19.04,2014ApJ...788...64G,19.24,2014ApJ...788...64G,-0.27,2006A&A...457..637M,0.07,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,1500,2014ApJ...788...64G,,None,FALSE,None,TRUE,,,,,,TRUE
IC1613 GHV 67684,[GHV2009] Star 67684,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[GHV2009]+Star+67684,Late O Supergiant,Gaia DR3 2539061867985436672,16.27035459,2.159073651,2016,IC 1613,None,O8.5 I,2013A&A...551A..74G,O,8.5,I,17.75,2013A&A...551A..74G,18.81,2013A&A...551A..74G,19.02,2013A&A...551A..74G,-0.26,2006A&A...457..637M,0.05,Derived from (B-V)0,38500,2013A&A...551A..74G,3.8,2013A&A...551A..74G,,None,,None,,None,,None,,None,,None,FALSE,None,TRUE,,,,,,TRUE
IC1613 BUG A13,[BUG2007] A 13,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[BUG2007]+A+13,Early O Dwarf,Gaia DR3 2539073649080572800,16.27607586,2.178683428,2016,IC 1613,None,O3-4 V((f)),2014ApJ...788...64G,O,3,V,17.65,2014ApJ...788...64G,18.73,2014ApJ...788...64G,18.96,2014ApJ...788...64G,-0.28,2006A&A...457..637M,0.05,Derived from (B-V)0,42500,2015MNRAS.449.1545B,3.75,2015MNRAS.449.1545B,5.62,2015MNRAS.449.1545B,11.9,"Derived from L,Teff",27.6,2015MNRAS.449.1545B,,None,2200,2014ApJ...788...64G,2.50E-07,2015MNRAS.449.1545B,FALSE,None,TRUE,,,,,,TRUE
IC1613 BUG B3,[BUG2007] B 3,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[BUG2007]+B+3,Early B Supergiant,Gaia DR3 2539061799266686464,16.27656999,2.158723733,2016,IC 1613,None,B0 Ia,2007ApJ...671.2028B,B,0,I,16.56,2009A&A...502.1015G,17.54,2009A&A...502.1015G,17.69,2009A&A...502.1015G,-0.24,1970A&A.....4..234F,0.1,Derived from (B-V)0,24500,2007ApJ...671.2028B,2.65,2007ApJ...671.2028B,5.53,2007ApJ...671.2028B,32,2007ApJ...671.2028B,19,2007ApJ...671.2028B,,None,,2014ApJ...788...64G,,None,FALSE,None,TRUE,,,,,,TRUE
AV 377,AzV 377,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+377,Mid O Dwarf,Gaia DR3 4687411209620332672,16.28077067,-72.80520415,2016,SMC,None,O5 V((f)),2004MNRAS.353..601E,O,5,V,13.19,2002ApJS..141...81M,14.25,2002ApJS..141...81M,14.45,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.08,Derived from (B-V)0,45500,2004ApJ...608.1001M,4,2004ApJ...608.1001M,5.54,2004ApJ...608.1001M,9.1,2004ApJ...608.1001M,45,2005ApJ...627..477M,,None,2350,2004ApJ...608.1001M,1.00E-07,2004ApJ...608.1001M,FALSE,None,FALSE,,,,,,TRUE
AV 388,AzV 388,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+388,Early O Dwarf,Gaia DR3 4687482643522255744,16.41472203,-72.49082192,2016,SMC,None,O4 V,1987AJ.....93.1070G,O,4,V,12.81,2002ApJS..141...81M,13.88,2002ApJS..141...81M,14.09,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.07,Derived from (B-V)0,43100,2013A&A...555A...1B,4.01,2013A&A...555A...1B,5.54,2013A&A...555A...1B,10.6,"Derived from L,Teff",42,2013A&A...555A...1B,150,2013A&A...555A...1B,2100,2013A&A...555A...1B,1.00E-07,2013A&A...555A...1B,FALSE,None,FALSE,,,,,,TRUE
AV 393,SK 124,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+124,Early B Supergiant,Gaia DR3 4687488965713758336,16.484678,-72.32910583,2016,SMC,None,B1.5 Ia,1987AJ.....93.1070G,B,1.5,I,10.55,1977A&AS...30..261A,11.41,1977A&AS...30..261A,11.43,1977A&AS...30..261A,-0.18,1970A&A.....4..234F,0.16,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None,FALSE,,,,,,FALSE
AV 410,AzV 410,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+410,Early B Giant,Gaia DR3 4687530747148633216,16.68789234,-72.05685069,2016,SMC,None,B0 III,1987AJ.....93.1070G,B,0,III,12.11,2002ApJS..141...81M,13.06,2002ApJS..141...81M,13.21,2002ApJS..141...81M,-0.3,1970A&A.....4..234F,0.15,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None,FALSE,,,,,,FALSE
2dFS 2266,2dFS 2266,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=2dFS+2266,Mid O Bright Giant,Gaia DR3 4687513876517417856,16.80947643,-72.22987004,2016,SMC,None,OC7 II(f),2004MNRAS.353..601E,O,7,II,13.83,2002ApJS..141...81M,14.91,2002ApJS..141...81M,15.16,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.02,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None,FALSE,,,,,,FALSE
AV 423,AzV 423,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+423,Late O Bright Giant,Gaia DR3 4687226079343204736,16.91830283,-72.85002296,2016,SMC,None,O9.5 II(n),2002ApJS..141..443W,O,9.5,II,12.08,2002ApJS..141...81M,13.08,2002ApJS..141...81M,13.25,2002ApJS..141...81M,-0.26,2006A&A...457..637M,0.09,Derived from (B-V)0,28200,2018ApJ...868...57C,,None,5.34,2018ApJ...868...57C,19.6,"Derived from L,Teff",,None,163,2009ApJ...700..844P,,None,,None,FALSE,None,FALSE,,,,,,TRUE
AV 435,AzV 435,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+435,Early O Dwarf,Gaia DR3 4687529613277122560,17.07461693,-71.99844039,2016,SMC,None,O3 V((f*)),2005ApJ...627..477M,O,3,V,12.96,2002ApJS..141...81M,13.94,2002ApJS..141...81M,14,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.22,Derived from (B-V)0,46000,2012A&A...543A..95R,3.9,2012A&A...543A..95R,5.88,2012A&A...543A..95R,13.8,2012A&A...543A..95R,,None,110,2012A&A...543A..95R,1500,2012A&A...543A..95R,2.10E-07,2012A&A...543A..95R,FALSE,None,FALSE,,,,,,FALSE
AV 440,AzV 440,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+440,Mid O Giant,Gaia DR3 4687534389280585088,17.23343157,-71.87964279,2016,SMC,None,O8 V,2005ApJ...627..477M,O,8,V,13.3,2002ApJS..141...81M,14.3,2002ApJS..141...81M,14.48,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.09,Derived from (B-V)0,37000,2005ApJ...627..477M,4,2005ApJ...627..477M,5.28,2005ApJ...627..477M,10.6,2005ApJ...627..477M,42,2005ApJ...627..477M,62,2009ApJ...700..844P,1300,2005ApJ...627..477M,1.00E-07,2005ApJ...627..477M,FALSE,None,FALSE,,,,,,FALSE
AV 445,AzV 445,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+445,Mid B Supergiant,Gaia DR3 4687457625308011776,17.31591154,-72.42059663,2016,SMC,None,B5 Iab,1997A&A...317..871L,B,5,I,11.9,2002ApJS..141...81M,12.65,2002ApJS..141...81M,12.71,2002ApJS..141...81M,-0.09,1970A&A.....4..234F,0.03,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None,FALSE,,,,,,FALSE
2dFS 2553,2dFS 2553,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=2dFS+2553,Mid O Giant,Gaia DR3 4687154611082066304,17.34146925,-73.26164889,2016,SMC,None,O6.5 III((f))e_2_,2016ApJ...817..113L,O,6.5,III,13.82,2002ApJS..141...81M,14.82,2002ApJS..141...81M,14.95,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.14,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None,FALSE,,,,,,FALSE
AV 446,AzV 446,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+446,Mid O Dwarf,Gaia DR3 4687202920878091008,17.35596373,-73.15831291,2016,SMC,None,O6.5 V,1987AJ.....93.1070G,O,6.5,V,13.29,2002ApJS..141...81M,14.35,2002ApJS..141...81M,14.59,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.03,Derived from (B-V)0,39700,2013A&A...555A...1B,4,2013A&A...555A...1B,5.25,2013A&A...555A...1B,8.9,"Derived from L,Teff",30,2013A&A...555A...1B,30,2013A&A...555A...1B,1400,2013A&A...555A...1B,4.00E-09,2005ApJ...627..477M,FALSE,None,FALSE,,,,,,TRUE
AV 454,AzV 454,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+454,Late O Giant,Gaia DR3 4687251402471990528,17.68765779,-72.71919656,2016,SMC,None,O8.5 III,2004MNRAS.353..601E,O,8.5,III,12.44,2002ApJS..141...81M,13.44,2002ApJS..141...81M,13.54,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.17,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None,TRUE,,,,,,TRUE
AV 456,AzV 456,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+456,Late O Supergiant,Gaia DR3 4687251368112248960,17.73235146,-72.71563182,2016,SMC,None,O9.5 Ibw,2004ApJ...610.1021E,O,9.5,I,12.15,2002ApJS..141...81M,12.93,2002ApJS..141...81M,12.83,2002ApJS..141...81M,-0.26,2006A&A...457..637M,0.36,Derived from (B-V)0,29500,2004ApJ...610.1021E,3,2004ApJ...610.1021E,5.81,2004ApJ...610.1021E,30.6,2004ApJ...610.1021E,,None,80,2004ApJ...610.1021E,1450,2004ApJ...610.1021E,7.00E-07,2004ApJ...610.1021E,FALSE,None,FALSE,,,,,,TRUE
AV 468,AzV 468,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+468,Late O Dwarf,Gaia DR3 4687248791131672960,18.0244966,-72.68239417,2016,SMC,None,O8.5 V,1987AJ.....93.1070G,O,8.5,V,13.83,2002ApJS..141...81M,14.86,2002ApJS..141...81M,15.11,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.02,Derived from (B-V)0,34700,2013A&A...555A...1B,4,2013A&A...555A...1B,4.76,2013A&A...555A...1B,6.6,"Derived from L,Teff",19.3,2013A&A...555A...1B,50,2013A&A...555A...1B,1540,2013A&A...555A...1B,7.10E-10,2013A&A...555A...1B,FALSE,None,FALSE,,,,,,FALSE
AV 469,AzV 469,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+469,Late O Bright Giant,Gaia DR3 4687447287341770112,18.12088433,-72.49141061,2016,SMC,None,O8.5 II((f)),2002ApJS..141..443W,O,8.5,II,11.91,2002ApJS..141...81M,12.96,2002ApJS..141...81M,13.12,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.11,Derived from (B-V)0,33000,2004ApJ...610.1021E,3.4,2004ApJ...610.1021E,5.5,2004ApJ...610.1021E,17.2,2004ApJ...610.1021E,,None,80,2004ApJ...610.1021E,1550,2004ApJ...610.1021E,1.30E-06,2004ApJ...610.1021E,FALSE,None,FALSE,,,,,,FALSE
AV 472,AzV 472,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+472,Early B Bright Giant,Gaia DR3 4687241472507227520,18.25782732,-72.76346159,2016,SMC,None,B2 Ia,1997A&A...317..871L,B,2,I,11.59,2002ApJS..141...81M,12.51,2002ApJS..141...81M,12.62,2002ApJS..141...81M,-0.17,1970A&A.....4..234F,0.06,Derived from (B-V)0,19000,2005A&A...434.1125D,2.4,2005A&A...434.1125D,,None,,None,,None,33,2006A&A...451..603D,,None,,None,FALSE,None,FALSE,,,,,,FALSE
AV 476,AzV 476,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+476,Mid O Dwarf,Gaia DR3 4687160280440944384,18.42688905,-73.291538,2016,SMC,NGC 456,O2-3 V + OB,2005ApJ...627..477M,O,2,V,12.5,2002ApJS..141...81M,13.43,2002ApJS..141...81M,13.52,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.18,Derived from (B-V)0,40000,2018ApJ...868...57C,,None,5.71,2018ApJ...868...57C,14.9,"Derived from L,Teff",,None,65,2009ApJ...700..844P,2670,2005ApJ...627..477M,,None,TRUE,2013AcA....63..323P,FALSE,,,,,,TRUE
AV 479,AzV 479,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+479,Late O Supergiant,Gaia DR3 4686408759936714752,18.70943648,-73.33829829,2016,SMC,NGC 460,O9 Ib,1997A&A...317..871L,O,9,I,11.29,1977A&AS...30..261A,12.26,1977A&AS...30..261A,12.42,1977A&AS...30..261A,-0.26,2006A&A...457..637M,0.1,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None,FALSE,,,,,,TRUE
AV 480,AzV 480,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+480,Early O Dwarf,Gaia DR3 4687543803828589440,18.72925759,-72.36058896,2016,SMC,None,O4-7 Ve,2004MNRAS.353..601E,O,4,V,13.28,2002ApJS..141...81M,14.31,2002ApJS..141...81M,14.34,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.25,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None,TRUE,,,,,,TRUE
AV 488,SK 159,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+159,Early B Supergiant,Gaia DR3 4686413437158238208,18.99534056,-73.35677022,2016,SMC,NGC 465,B0.5 Iaw,1983ApJ...265..716W,B,0.5,I,10.79,1977A&AS...30..261A,11.76,1977A&AS...30..261A,11.89,1977A&AS...30..261A,-0.22,1970A&A.....4..234F,0.09,Derived from (B-V)0,27500,2004ApJ...610.1021E,2.9,2004ApJ...610.1021E,5.74,2004ApJ...610.1021E,32.6,2004ApJ...610.1021E,,None,80,2004ApJ...610.1021E,1250,2004ApJ...610.1021E,1.20E-06,2004ApJ...610.1021E,FALSE,None,FALSE,,,,,,FALSE
